,VOO,QQQ,IWM,VEA,VWO,XLK,SMH,XLV,XLF,XLI,XLE,XOP,XLU,NLR,URA,GRID,PAVE,ICLN
2022-05-31,0.15,0.0,0.0,0.0,0.0,0.15,0.1,0.15,0.0292,0.0,0.0,0.15,0.15,0.0835,0.0165,0.0,0.0,0.0208
2022-06-30,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.0,0.1,0.0,0.0,0.15
2022-07-31,0.1115,0.0,0.0,0.0,0.0,0.15,0.0385,0.15,0.0,0.0,0.0,0.15,0.15,0.0487,0.0513,0.0,0.0,0.15
2022-08-31,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.0,0.1,0.0,0.0,0.15
2022-09-30,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.1,0.0,0.15,0.0,0.0,0.15
2022-10-31,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0752,0.0,0.0,0.15,0.15,0.0,0.1,0.0,0.0,0.0748
2022-11-30,0.015,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.135,0.0172,0.1328,0.15,0.0,0.0963,0.0037,0.0,0.15
2022-12-31,0.0727,0.0,0.0,0.0,0.0,0.05,0.0,0.15,0.0273,0.15,0.15,0.0,0.15,0.0,0.1,0.0,0.0,0.15
2023-01-31,0.0,0.0,0.0,0.0,0.0,0.078,0.15,0.15,0.0688,0.0639,0.15,0.0,0.1098,0.0,0.1402,0.0,0.0,0.0893
2023-02-28,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.05,0.15,0.15,0.0,0.0,0.0,0.15,0.1,0.0,0.0
2023-03-31,0.15,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.05,0.15,0.0,0.15,0.0,0.0,0.1,0.0,0.0
2023-04-30,0.15,0.0,0.0,0.0,0.0,0.15,0.1,0.15,0.0,0.05,0.15,0.0,0.15,0.0,0.0,0.1,0.0,0.0
2023-05-31,0.15,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.05,0.15,0.0,0.0854,0.0,0.0146,0.15,0.0,0.0
2023-06-30,0.15,0.0,0.0,0.0,0.0,0.1093,0.1407,0.15,0.0,0.05,0.15,0.0,0.0,0.1,0.0,0.15,0.0,0.0
2023-07-31,0.15,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.05,0.15,0.0,0.0,0.1,0.0,0.15,0.0,0.0
2023-08-31,0.15,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.05,0.1215,0.0285,0.0,0.15,0.079,0.021,0.0,0.0
2023-09-30,0.15,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.05,0.15,0.0,0.0,0.15,0.1,0.0,0.0,0.0
2023-10-31,0.15,0.0,0.0,0.0,0.0,0.15,0.1,0.15,0.0,0.05,0.0065,0.1435,0.0,0.15,0.1,0.0,0.0,0.0
2023-11-30,0.15,0.0,0.0,0.0,0.0,0.15,0.1,0.15,0.0,0.05,0.15,0.0,0.0,0.15,0.1,0.0,0.0,0.0
2023-12-31,0.15,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.05,0.15,0.0,0.0,0.15,0.1,0.0,0.0,0.0
2024-01-31,0.15,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.05,0.15,0.0,0.0,0.15,0.1,0.0,0.0,0.0
2024-02-29,0.15,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.05,0.15,0.0,0.0,0.15,0.1,0.0,0.0,0.0
2024-03-31,0.15,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.05,0.15,0.0,0.0,0.15,0.0754,0.0246,0.0,0.0
2024-04-30,0.1443,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.0557,0.15,0.0,0.0,0.15,0.1,0.0,0.0,0.0
2024-05-31,0.15,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.05,0.15,0.0,0.0424,0.15,0.0576,0.0,0.0,0.0
2024-06-30,0.15,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.05,0.15,0.0,0.0706,0.15,0.0294,0.0,0.0,0.0
2024-07-31,0.0189,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0311,0.15,0.15,0.0,0.0535,0.15,0.0465,0.0,0.0,0.0
2024-08-31,0.05,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.15,0.15,0.0,0.0862,0.15,0.0138,0.0,0.0,0.0
2024-09-30,0.05,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.15,0.15,0.0,0.1,0.15,0.0,0.0,0.0,0.0
2024-10-31,0.05,0.0,0.0,0.0,0.0,0.1,0.15,0.15,0.0,0.15,0.15,0.0,0.1,0.15,0.0,0.0,0.0,0.0
2024-11-30,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,0.0,0.1,0.15,0.0,0.0,0.0,0.0
2024-12-31,0.05,0.0,0.0,0.0,0.0,0.1,0.15,0.0,0.15,0.15,0.15,0.0,0.1,0.15,0.0,0.0,0.0,0.0
2025-01-31,0.0775,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.1225,0.15,0.1395,0.0,0.1,0.15,0.0,0.0,0.0105,0.0
2025-02-28,0.0559,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.1441,0.15,0.15,0.0,0.1,0.15,0.0,0.0,0.0,0.0
2025-03-31,0.0817,0.0683,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,0.0,0.1,0.15,0.0,0.0,0.0,0.0
2025-04-30,0.05,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.1,0.15,0.0
2025-05-31,0.1211,0.1095,0.0,0.0,0.0,0.0,0.1405,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.0059,0.0231,0.15,0.0
2025-06-30,0.05,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.1,0.0,0.15,0.0
2025-07-31,0.0596,0.1,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0077,0.15,0.0827,0.0,0.15,0.0
2025-08-31,0.0286,0.1,0.0,0.1393,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.0414,0.0,0.0907,0.0
2025-09-30,0.0504,0.1,0.0,0.15,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.0578,0.0,0.0418,0.0
2025-10-31,0.11,0.1,0.0,0.1207,0.0949,0.0,0.15,0.0,0.0475,0.1269,0.0,0.0,0.0759,0.15,0.0241,0.0,0.0,0.0
2025-11-30,0.15,0.1,0.0,0.15,0.0663,0.0,0.15,0.0,0.1337,0.0,0.0,0.0,0.0939,0.15,0.0061,0.0,0.0,0.0
2025-12-31,0.15,0.1,0.0,0.15,0.0121,0.0,0.15,0.0,0.15,0.0379,0.0,0.0,0.0705,0.15,0.0295,0.0,0.0,0.0
2026-01-31,0.15,0.1,0.0,0.1426,0.0,0.0,0.15,0.0,0.0574,0.15,0.0,0.0,0.0586,0.15,0.0414,0.0,0.0,0.0
2026-02-28,0.15,0.1,0.0,0.15,0.0034,0.0,0.15,0.0045,0.0,0.15,0.0159,0.0,0.1065,0.1435,0.0,0.0,0.0262,0.0
2026-03-31,0.0435,0.0417,0.0,0.0807,0.0,0.0,0.15,0.0,0.15,0.1341,0.15,0.0,0.1044,0.0893,0.0563,0.0,0.0,0.0
2026-04-30,0.1251,0.1,0.0,0.0,0.0002,0.0,0.15,0.0,0.1288,0.096,0.0758,0.0,0.1134,0.026,0.1107,0.0,0.0742,0.0
2026-05-31,0.15,0.06,0.0,0.0471,0.0,0.04,0.15,0.0,0.1323,0.0595,0.1086,0.0,0.15,0.0244,0.0661,0.0,0.0119,0.0
