date,portfolio,benchmark,drawdown
2022-09-01,0.012674,0.011813,0.0
2022-09-02,-0.030319,-0.036235,-0.030319
2022-09-05,-0.009068,-0.01378,-0.039112
2022-09-06,-0.002559,-0.001688,-0.04157
2022-09-07,0.004353,0.007468,-0.037399
2022-09-08,-0.003475,-0.006299,-0.040744
2022-09-09,-0.025941,-0.023919,-0.065628
2022-09-12,0.001958,-0.002243,-0.063798
2022-09-13,0.009122,0.02214,-0.055258
2022-09-14,-0.022436,-0.035247,-0.076455
2022-09-15,0.008288,0.032112,-0.0688
2022-09-16,-0.004579,0.013464,-0.073065
2022-09-19,0.000229,-0.012029,-0.072853
2022-09-20,-0.001891,0.00637,-0.074605
2022-09-21,-0.009337,-0.005227,-0.083246
2022-09-22,0.026702,0.013469,-0.058767
2022-09-23,0.018597,0.00848,-0.041262
2022-09-26,0.010145,0.028072,-0.031536
2022-09-27,0.003386,0.000899,-0.028257
2022-09-28,0.005068,0.003736,-0.023332
2022-09-29,0.013996,0.01911,-0.009663
2022-09-30,0.015025,0.013386,0.0
2022-10-03,0.00641,0.013623,0.0
2022-10-04,-0.000282,0.012335,-0.000282
2022-10-05,0.001186,-0.013069,0.0
2022-10-06,-0.010267,-0.021499,-0.010267
2022-10-07,-0.00134,0.021666,-0.011594
2022-10-10,-0.008293,-0.014679,-0.019791
2022-10-11,0.02311,0.034371,0.0
2022-10-12,-0.002631,0.004959,-0.002631
2022-10-13,0.0107,0.028036,0.0
2022-10-14,0.010347,0.024713,0.0
2022-10-17,0.0079,0.008064,0.0
2022-10-18,0.014314,0.048953,0.0
2022-10-19,-0.010508,-0.017411,-0.010508
2022-10-20,-0.001615,0.0045,-0.012106
2022-10-21,-0.016378,-0.00074,-0.028286
2022-10-24,-0.008541,-0.017381,-0.036586
2022-10-25,0.012976,0.01245,-0.024085
2022-10-26,0.010529,-0.002452,-0.013809
2022-10-27,-0.007004,-0.001217,-0.020716
2022-10-28,-0.008426,0.00736,-0.028968
2022-10-31,-0.004467,-0.002528,-0.033305
2022-11-01,0.002887,-0.02733,-0.030514
2022-11-02,-0.009482,-0.012525,-0.039707
2022-11-03,-0.000821,-0.000701,-0.040495
2022-11-04,0.006833,0.013716,-0.033939
2022-11-07,-0.003764,0.041386,-0.037575
2022-11-08,-0.020926,-0.027252,-0.057715
2022-11-09,0.003887,0.010362,-0.054052
2022-11-10,0.006766,-0.000568,-0.047652
2022-11-11,-0.002665,0.016913,-0.05019
2022-11-14,0.007734,0.000952,-0.042844
2022-11-15,-0.0136,-0.021694,-0.055862
2022-11-16,-0.008937,-0.003784,-0.064299
2022-11-17,0.005029,0.005524,-0.059594
2022-11-18,-0.021576,-0.022544,-0.079884
2022-11-21,0.015414,0.019377,-0.065701
2022-11-22,0.013032,-0.000928,-0.053525
2022-11-23,0.00242,0.007049,-0.051235
2022-11-24,-0.005497,-0.024559,-0.05645
2022-11-25,0.005305,0.013485,-0.051445
2022-11-28,0.010771,0.005291,-0.041228
2022-11-29,0.004341,-0.003154,-0.037066
2022-11-30,-0.000874,0.0207,-0.037907
2022-12-01,0.000916,0.013744,-0.037026
2022-12-02,-0.011348,-0.011491,-0.047954
2022-12-05,0.000464,-0.014423,-0.047512
2022-12-06,9.7e-05,-0.017442,-0.04742
2022-12-07,0.011149,0.007105,-0.0368
2022-12-08,0.015589,-0.013926,-0.021785
2022-12-09,-0.008874,-0.026022,-0.030465
2022-12-12,-0.00144,0.007372,-0.031861
2022-12-13,0.016908,0.017448,-0.015492
2022-12-14,-0.01719,-0.008152,-0.032415
2022-12-15,-0.006579,-0.016662,-0.038781
2022-12-16,0.002452,-0.016129,-0.036424
2022-12-19,0.013228,0.029994,-0.023679
2022-12-20,0.004879,-0.015685,-0.018915
2022-12-21,0.015854,0.019668,-0.003361
2022-12-22,0.016571,0.015158,0.0
