ticker,historical,equilibrium,bl_posterior,market_weight
VOO,0.143218,0.137558,0.137558,0.53656
QQQ,0.185889,0.163189,0.163189,0.155775
IWM,0.093973,0.148025,0.148025,0.025522
VEA,0.106675,0.118655,0.118655,0.100059
VWO,0.071107,0.109963,0.109963,0.051345
XLK,0.234427,0.172023,0.172023,0.039265
SMH,0.39012,0.211616,0.211616,0.021387
XLV,0.071724,0.088364,0.088364,0.012061
XLF,0.104244,0.119084,0.119084,0.015584
XLI,0.131995,0.121045,0.121045,0.009529
XLE,0.228132,0.097908,0.097908,0.012195
XOP,0.218219,0.124262,0.124262,0.001063
XLU,0.106814,0.078506,0.078506,0.007049
NLR,0.21947,0.133395,0.133395,0.001537
URA,0.273176,0.177784,0.177784,0.002227
GRID,0.183151,0.143468,0.143468,0.00356
PAVE,0.1796,0.13944,0.13944,0.00427
ICLN,0.042801,0.132351,0.132351,0.001012
