ticker,beta,capm_expected,realised,alpha
VOO,0.98493,0.143326,0.145227,0.001901
QQQ,1.254298,0.172629,0.192525,0.019896
IWM,1.120866,0.158114,0.098599,-0.059514
VEA,0.792426,0.122384,0.113377,-0.009007
VWO,0.68292,0.110471,0.077659,-0.032812
XLK,1.358204,0.183932,0.241506,0.057573
SMH,1.705895,0.221756,0.405712,0.183956
XLV,0.558601,0.096947,0.071421,-0.025527
XLF,0.871133,0.130946,0.104658,-0.026288
XLI,0.877808,0.131672,0.135878,0.004206
XLE,0.637178,0.105495,0.228498,0.123003
XOP,0.902569,0.134366,0.221743,0.087377
XLU,0.454728,0.085648,0.104651,0.019004
NLR,0.943365,0.138804,0.227732,0.088928
URA,1.346636,0.182674,0.292049,0.109375
GRID,1.057289,0.151197,0.188393,0.037196
PAVE,1.055257,0.150976,0.184239,0.033263
ICLN,0.916833,0.135918,0.052708,-0.08321
