Ticker,VOO,QQQ,IWM,VEA,VWO,XLK,SMH,XLV,XLF,XLI,XLE,XOP,XLU,NLR,URA,GRID,PAVE,ICLN
VOO,1.0,0.9519,0.8484,0.8123,0.6685,0.9232,0.8224,0.6482,0.7986,0.8549,0.4122,0.4468,0.4497,0.5474,0.5252,0.8522,0.8314,0.5714
QQQ,0.9519,1.0,0.7713,0.7448,0.6567,0.9687,0.8926,0.5101,0.6387,0.7258,0.2712,0.3345,0.3082,0.5157,0.5097,0.8164,0.7183,0.5645
IWM,0.8484,0.7713,1.0,0.7716,0.6474,0.7351,0.6964,0.5507,0.7757,0.8433,0.46,0.5287,0.403,0.5449,0.5516,0.8207,0.8797,0.6352
VEA,0.8123,0.7448,0.7716,1.0,0.8098,0.7179,0.6953,0.5643,0.6987,0.7629,0.3892,0.3942,0.4232,0.5815,0.5795,0.8707,0.7505,0.6302
VWO,0.6685,0.6567,0.6474,0.8098,1.0,0.6353,0.6527,0.3813,0.517,0.581,0.3112,0.3346,0.2593,0.5144,0.5339,0.721,0.5904,0.6029
XLK,0.9232,0.9687,0.7351,0.7179,0.6353,1.0,0.9173,0.4594,0.5991,0.7048,0.2664,0.3275,0.2781,0.5328,0.5118,0.8036,0.703,0.5358
SMH,0.8224,0.8926,0.6964,0.6953,0.6527,0.9173,1.0,0.3677,0.5097,0.6566,0.2508,0.3145,0.1972,0.5157,0.5115,0.8001,0.6808,0.5356
XLV,0.6482,0.5101,0.5507,0.5643,0.3813,0.4594,0.3677,1.0,0.583,0.6044,0.2491,0.2303,0.4951,0.2702,0.2363,0.4956,0.5363,0.3557
XLF,0.7986,0.6387,0.7757,0.6987,0.517,0.5991,0.5097,0.583,1.0,0.8133,0.4856,0.4896,0.4249,0.4102,0.399,0.6734,0.7835,0.391
XLI,0.8549,0.7258,0.8433,0.7629,0.581,0.7048,0.6566,0.6044,0.8133,1.0,0.4671,0.4763,0.4976,0.5355,0.4916,0.8284,0.9447,0.5254
XLE,0.4122,0.2712,0.46,0.3892,0.3112,0.2664,0.2508,0.2491,0.4856,0.4671,1.0,0.9342,0.2594,0.2871,0.3687,0.3446,0.4684,0.2535
XOP,0.4468,0.3345,0.5287,0.3942,0.3346,0.3275,0.3145,0.2303,0.4896,0.4763,0.9342,1.0,0.2265,0.2994,0.4072,0.3814,0.4984,0.3032
XLU,0.4497,0.3082,0.403,0.4232,0.2593,0.2781,0.1972,0.4951,0.4249,0.4976,0.2594,0.2265,1.0,0.4063,0.2431,0.4355,0.45,0.4015
NLR,0.5474,0.5157,0.5449,0.5815,0.5144,0.5328,0.5157,0.2702,0.4102,0.5355,0.2871,0.2994,0.4063,1.0,0.8581,0.6156,0.5411,0.4916
URA,0.5252,0.5097,0.5516,0.5795,0.5339,0.5118,0.5115,0.2363,0.399,0.4916,0.3687,0.4072,0.2431,0.8581,1.0,0.5909,0.5179,0.513
GRID,0.8522,0.8164,0.8207,0.8707,0.721,0.8036,0.8001,0.4956,0.6734,0.8284,0.3446,0.3814,0.4355,0.6156,0.5909,1.0,0.8416,0.7246
PAVE,0.8314,0.7183,0.8797,0.7505,0.5904,0.703,0.6808,0.5363,0.7835,0.9447,0.4684,0.4984,0.45,0.5411,0.5179,0.8416,1.0,0.537
ICLN,0.5714,0.5645,0.6352,0.6302,0.6029,0.5358,0.5356,0.3557,0.391,0.5254,0.2535,0.3032,0.4015,0.4916,0.513,0.7246,0.537,1.0
