ret,vol,sharpe,feasible
0.180704,0.186389,0.775389,True
0.187997,0.17722,0.856659,False
0.145966,0.161743,0.678767,False
0.182098,0.185206,0.787872,True
0.146435,0.155396,0.709513,False
0.176387,0.172956,0.810651,False
0.200814,0.197189,0.834902,False
0.154344,0.168431,0.701555,False
0.175604,0.172897,0.806398,True
0.175902,0.186809,0.747937,False
0.169991,0.167866,0.797132,False
0.165632,0.175424,0.737938,False
0.173863,0.171021,0.805067,False
0.170429,0.17672,0.759672,True
0.175545,0.1773,0.786038,False
0.156823,0.169825,0.710396,False
0.176699,0.171599,0.818879,False
0.171086,0.191133,0.705823,False
0.188886,0.199503,0.76543,False
0.212193,0.198335,0.887453,False
0.201449,0.192433,0.858837,False
0.167495,0.174095,0.754272,False
0.201992,0.189235,0.876225,False
0.15388,0.15909,0.739836,False
0.183713,0.176867,0.834146,False
0.175759,0.173463,0.804664,False
0.175139,0.167383,0.830187,True
0.187004,0.191803,0.786351,False
0.18363,0.182891,0.806219,False
0.190315,0.185054,0.832918,False
0.169349,0.168369,0.790936,False
0.168076,0.160269,0.822964,False
0.170799,0.183521,0.733537,False
0.165253,0.181709,0.710331,False
0.185964,0.179927,0.83247,False
0.181152,0.175287,0.827057,False
0.141445,0.155157,0.678442,False
0.160386,0.171033,0.726213,True
0.158339,0.168728,0.724002,True
0.160561,0.165156,0.75311,True
0.153793,0.163226,0.720552,False
0.157393,0.165817,0.731001,False
0.16897,0.164781,0.805858,True
0.18148,0.186219,0.780268,False
0.193493,0.173415,0.90715,False
0.158528,0.167814,0.729068,False
0.166978,0.17463,0.749004,False
0.143598,0.153668,0.699025,True
0.170436,0.172216,0.779577,True
0.162348,0.163655,0.77094,False
0.172074,0.164155,0.827841,False
0.175833,0.171953,0.812154,False
0.160573,0.166996,0.744885,False
0.165565,0.178374,0.725356,False
0.19324,0.185462,0.846857,False
0.199749,0.191201,0.855482,False
0.16482,0.178762,0.719614,False
0.191547,0.179419,0.865941,False
0.16749,0.163316,0.804028,False
0.15933,0.162972,0.755653,True
0.179766,0.181799,0.789802,True
0.166496,0.171824,0.758426,False
0.149477,0.155218,0.729921,False
0.178548,0.177087,0.803944,False
0.214907,0.198937,0.898409,False
0.182827,0.180694,0.811576,True
0.14399,0.169557,0.635832,True
0.21406,0.191537,0.9287,False
0.151142,0.166095,0.692145,False
0.156462,0.165601,0.726337,False
0.177782,0.183778,0.770507,False
0.181573,0.178114,0.81629,True
0.157404,0.16582,0.731061,False
0.143384,0.15974,0.671118,False
0.163199,0.171342,0.741316,False
0.184417,0.192478,0.770152,False
0.181289,0.19,0.763733,False
0.170394,0.17031,0.788056,False
0.181859,0.182717,0.797294,False
0.169805,0.18176,0.735171,False
0.159767,0.168704,0.732568,False
0.15744,0.170928,0.709425,False
0.17996,0.183483,0.783616,False
0.198296,0.190881,0.849304,False
0.165065,0.176872,0.728692,True
0.162257,0.179448,0.702582,False
0.165518,0.17049,0.758622,False
0.146001,0.164298,0.668425,False
0.166081,0.176788,0.734787,False
0.163248,0.155233,0.818563,False
0.172165,0.16846,0.80722,True
0.168035,0.181138,0.727928,True
0.166326,0.159234,0.817327,False
0.181707,0.172629,0.843001,False
0.134669,0.165701,0.594382,True
0.179287,0.180558,0.792583,False
0.158823,0.164349,0.746232,False
0.158433,0.164596,0.742747,False
0.193961,0.185141,0.85222,True
0.166726,0.186163,0.701244,False
0.155867,0.162017,0.73873,False
0.154081,0.157185,0.750082,True
0.147435,0.148733,0.748016,False
0.178475,0.179564,0.792449,False
0.168217,0.161674,0.816688,False
0.157658,0.174531,0.696026,True
0.150752,0.147465,0.776941,False
0.147803,0.168862,0.661031,True
0.179638,0.187198,0.766342,False
0.15428,0.161203,0.732616,False
0.154431,0.165464,0.714662,True
0.154417,0.169768,0.69646,False
0.184222,0.169725,0.872246,False
0.181514,0.173515,0.837591,False
0.148358,0.166768,0.672661,True
0.169185,0.19431,0.684498,False
0.17084,0.173424,0.776482,False
0.173697,0.166177,0.827536,False
0.168821,0.160261,0.827654,True
0.190352,0.173785,0.887139,False
0.157288,0.178097,0.68001,False
0.155694,0.173453,0.689027,True
0.169115,0.171765,0.773938,True
0.165966,0.180502,0.719025,False
0.186116,0.177627,0.844109,False
0.167175,0.165499,0.791517,False
0.182603,0.181771,0.805536,False
0.151897,0.167999,0.688796,True
0.136212,0.150172,0.666114,True
0.180371,0.196622,0.733341,False
0.176022,0.163518,0.855212,False
0.154448,0.170829,0.692318,True
0.182859,0.185685,0.789935,False
0.140966,0.146169,0.716887,True
0.190119,0.188657,0.815974,False
0.162167,0.155039,0.812614,False
0.152173,0.153845,0.753961,False
0.186353,0.182895,0.821088,False
0.143769,0.160851,0.668875,True
0.177971,0.187762,0.755163,False
0.161539,0.180099,0.69606,False
0.186534,0.191036,0.787047,False
0.15684,0.166021,0.72678,False
0.146076,0.15652,0.70212,False
0.198806,0.186571,0.871661,False
0.18347,0.176025,0.836759,False
0.183861,0.181754,0.812533,False
0.168864,0.170483,0.778286,False
0.177383,0.165799,0.851653,False
0.16349,0.174314,0.730347,False
0.16956,0.161381,0.826491,False
0.16931,0.169274,0.786479,True
