ticker,weight,turnover_up,own_change_up,turnover_down,own_change_down,fragile
ICLN,0.097291,0.014888,0.014888,0.015044,-0.015044,False
URA,0.019063,0.013382,0.013382,0.013559,-0.013559,False
VOO,0.139026,0.010974,0.010974,0.017943,-0.017943,False
XLU,0.144621,0.005379,0.005379,0.011388,-0.011388,False
IWM,0.15,0.000972,0.0,0.000992,-0.0,False
XLK,0.15,0.000972,0.0,0.000992,0.0,False
XLV,0.15,0.000972,0.0,0.000992,0.0,False
PAVE,0.15,0.000972,0.0,0.000992,0.0,False
QQQ,0.0,0.0,0.0,0.0,0.0,False
VEA,0.0,0.0,0.0,0.0,0.0,False
VWO,0.0,0.0,0.0,0.0,0.0,False
SMH,0.0,0.0,0.0,0.0,0.0,False
XLF,0.0,0.0,0.0,0.0,0.0,False
XLI,0.0,0.0,0.0,0.0,0.0,False
XLE,0.0,0.0,0.0,0.0,0.0,False
XOP,0.0,0.0,0.0,0.0,0.0,False
NLR,0.0,0.0,0.0,0.0,0.0,False
GRID,0.0,0.0,0.0,0.0,0.0,False
