ticker,optimal,boot_mean,boot_std,n_samples
VOO,0.15,0.091258,0.064424,100
SMH,0.15,0.13753,0.033112,100
XLE,0.15,0.107932,0.060318,100
XLI,0.139588,0.076323,0.068886,100
NLR,0.138671,0.05739,0.061439,100
XLU,0.111329,0.082221,0.065181,100
XLK,0.1,0.070119,0.049661,100
XLV,0.060412,0.089769,0.067295,100
QQQ,0.0,0.017859,0.037114,100
VWO,0.0,0.027593,0.053561,100
XLF,0.0,0.054809,0.067565,100
IWM,0.0,0.0035,0.021512,100
VEA,0.0,0.053648,0.065563,100
XOP,0.0,0.012091,0.034147,100
URA,0.0,0.046459,0.060801,100
GRID,0.0,0.038917,0.055805,100
PAVE,0.0,0.023113,0.050171,100
ICLN,0.0,0.009469,0.033508,100
